title,link,tags
Pascal,https://learnxinyminutes.com/docs/pascal/,pascal
Pascal,https://learnxinyminutes.com/docs/ru-ru/pascal-ru/,pascal
PCRE,https://learnxinyminutes.com/docs/pcre/,pcre
perl,https://learnxinyminutes.com/docs/perl/,perl
PHP,https://learnxinyminutes.com/docs/php/,php
Pod,https://learnxinyminutes.com/docs/raku-pod/,pod
pogoscript,https://learnxinyminutes.com/docs/pogo/,pogoscript
processing,https://learnxinyminutes.com/docs/processing/,processing
prolog,https://learnxinyminutes.com/docs/prolog/,prolog
protocol-buffers,https://learnxinyminutes.com/docs/protocol-buffer-3/,protocol-buffers
Pug,https://learnxinyminutes.com/docs/pug/,pug
purescript,https://learnxinyminutes.com/docs/purescript/,purescript
Python,https://learnxinyminutes.com/docs/python/,python
Python 2 (legacy),https://learnxinyminutes.com/docs/pythonlegacy/,python
R,https://learnxinyminutes.com/docs/r/,r
racket,https://learnxinyminutes.com/docs/racket/,racket
Raku,https://learnxinyminutes.com/docs/raku/,raku
reason,https://learnxinyminutes.com/docs/reason/,reason
Red,https://learnxinyminutes.com/docs/red/,red
restructured text (RST),https://learnxinyminutes.com/docs/rst/,restructured;text
ruby,https://learnxinyminutes.com/docs/ruby/,ruby
Rust,https://learnxinyminutes.com/docs/rust/,rust
sass,https://learnxinyminutes.com/docs/sass/,sass
Scala,https://learnxinyminutes.com/docs/scala/,scala
self,https://learnxinyminutes.com/docs/self/,self
SmallBASIC,https://learnxinyminutes.com/docs/smallbasic/,smallbasic
Smalltalk,https://learnxinyminutes.com/docs/smalltalk/,smalltalk
Solidity,https://learnxinyminutes.com/docs/solidity/,solidity
SQL,https://learnxinyminutes.com/docs/sql/,sql
Standard ML,https://learnxinyminutes.com/docs/standard-ml/,standard;ml
stylus,https://learnxinyminutes.com/docs/stylus/,stylus
swift,https://learnxinyminutes.com/docs/swift/,swift
Tcl,https://learnxinyminutes.com/docs/tcl/,tcl
textile,https://learnxinyminutes.com/docs/textile/,textile
toml,https://learnxinyminutes.com/docs/toml/,toml
TypeScript,https://learnxinyminutes.com/docs/typescript/,typescript
vala,https://learnxinyminutes.com/docs/vala/,vala
Vimscript,https://learnxinyminutes.com/docs/vimscript/,vimscript
Visual Basic,https://learnxinyminutes.com/docs/visualbasic/,visual;basic
Vyper,https://learnxinyminutes.com/docs/vyper/,vyper
WebAssembly,https://learnxinyminutes.com/docs/wasm/,webassembly
whip,https://learnxinyminutes.com/docs/whip/,whip
wolfram,https://learnxinyminutes.com/docs/wolfram/,wolfram
xml,https://learnxinyminutes.com/docs/xml/,xml
yaml,https://learnxinyminutes.com/docs/yaml/,yaml
amd,https://learnxinyminutes.com/docs/amd/,amd
AngularJS,https://learnxinyminutes.com/docs/angularjs/,angularjs
ansible,https://learnxinyminutes.com/docs/ansible/,ansible
awk,https://learnxinyminutes.com/docs/awk/,awk
bash,https://learnxinyminutes.com/docs/bash/,bash
cmake,https://learnxinyminutes.com/docs/cmake/,cmake
compojure,https://learnxinyminutes.com/docs/compojure/,compojure
composer,https://learnxinyminutes.com/docs/php-composer/,composer
DirectX 9,https://learnxinyminutes.com/docs/directx9/,directx
emacs,https://learnxinyminutes.com/docs/emacs/,emacs
git,https://learnxinyminutes.com/docs/git/,git
jquery,https://learnxinyminutes.com/docs/jquery/,jquery
linker,https://learnxinyminutes.com/docs/linker/,linker
make,https://learnxinyminutes.com/docs/make/,make
Mercurial,https://learnxinyminutes.com/docs/mercurial/,mercurial
messagepack,https://learnxinyminutes.com/docs/messagepack/,messagepack
OpenCV,https://learnxinyminutes.com/docs/opencv/,opencv
OpenGL,https://learnxinyminutes.com/docs/opengl/,opengl
p5,https://learnxinyminutes.com/docs/p5/,
powershell,https://learnxinyminutes.com/docs/powershell/,powershell
PyQT,https://learnxinyminutes.com/docs/pyqt/,pyqt
Qt Framework,https://learnxinyminutes.com/docs/qt/,qt;framework
ruby ecosystem,https://learnxinyminutes.com/docs/ruby-ecosystem/,ruby;ecosystem
ShutIt,https://learnxinyminutes.com/docs/shutit/,shutit
Statistical Computing with Python,https://learnxinyminutes.com/docs/pythonstatcomp/,statistical;computing;python
tcsh,https://learnxinyminutes.com/docs/tcsh/,tcsh
tmux,https://learnxinyminutes.com/docs/tmux/,tmux
vim,https://learnxinyminutes.com/docs/vim/,vim
zfs,https://learnxinyminutes.com/docs/zfs/,zfs
Getting Started,https://reactjs.org/docs/getting-started.html,getting;started;react
Add React to a Website,https://reactjs.org/docs/add-react-to-a-website.html,add;react;website;react
Create a New React App,https://reactjs.org/docs/create-a-new-react-app.html,create;new;react;app;react
CDN Links,https://reactjs.org/docs/cdn-links.html,cdn;links;react
Release Channels,https://reactjs.org/docs/release-channels.html,release;channels;react
Hello World,https://reactjs.org/docs/hello-world.html,hello;world;react
Introducing JSX,https://reactjs.org/docs/introducing-jsx.html,introducing;jsx;react
Rendering Elements,https://reactjs.org/docs/rendering-elements.html,rendering;elements;react
Components and Props,https://reactjs.org/docs/components-and-props.html,components;props;react
State and Lifecycle,https://reactjs.org/docs/state-and-lifecycle.html,state;lifecycle;react
Handling Events,https://reactjs.org/docs/handling-events.html,handling;events;react
Conditional Rendering,https://reactjs.org/docs/conditional-rendering.html,conditional;rendering;react
Lists and Keys,https://reactjs.org/docs/lists-and-keys.html,lists;keys;react
Forms,https://reactjs.org/docs/forms.html,forms;react
Lifting State Up,https://reactjs.org/docs/lifting-state-up.html,lifting;state;up;react
Composition vs Inheritance,https://reactjs.org/docs/composition-vs-inheritance.html,composition;vs;inheritance;react
Thinking In React,https://reactjs.org/docs/thinking-in-react.html,thinking;in;react;react
Accessibility,https://reactjs.org/docs/accessibility.html,accessibility;react
Code-Splitting,https://reactjs.org/docs/code-splitting.html,code-splitting;react
Context,https://reactjs.org/docs/context.html,context;react
Error Boundaries,https://reactjs.org/docs/error-boundaries.html,error;boundaries;react
Forwarding Refs,https://reactjs.org/docs/forwarding-refs.html,forwarding;refs;react
Fragments,https://reactjs.org/docs/fragments.html,fragments;react
Higher-Order Components,https://reactjs.org/docs/higher-order-components.html,higher-order;components;react
Integrating with Other Libraries,https://reactjs.org/docs/integrating-with-other-libraries.html,integrating;other;libraries;react
JSX In Depth,https://reactjs.org/docs/jsx-in-depth.html,jsx;in;depth;react
Optimizing Performance,https://reactjs.org/docs/optimizing-performance.html,optimizing;performance;react
Portals,https://reactjs.org/docs/portals.html,portals;react
Profiler,https://reactjs.org/docs/profiler.html,profiler;react
React Without ES6,https://reactjs.org/docs/react-without-es6.html,react;without;react
React Without JSX,https://reactjs.org/docs/react-without-jsx.html,react;without;jsx;react
Reconciliation,https://reactjs.org/docs/reconciliation.html,reconciliation;react
Refs and the DOM,https://reactjs.org/docs/refs-and-the-dom.html,refs;dom;react
Render Props,https://reactjs.org/docs/render-props.html,render;props;react
Static Type Checking,https://reactjs.org/docs/static-type-checking.html,static;type;checking;react
Strict Mode,https://reactjs.org/docs/strict-mode.html,strict;mode;react
Typechecking With PropTypes,https://reactjs.org/docs/typechecking-with-proptypes.html,typechecking;with;proptypes;react
Uncontrolled Components,https://reactjs.org/docs/uncontrolled-components.html,uncontrolled;components;react
Web Components,https://reactjs.org/docs/web-components.html,web;components;react
React,https://reactjs.org/docs/react-api.html,react;react
React.Component,https://reactjs.org/docs/react-component.html,react
ReactDOM,https://reactjs.org/docs/react-dom.html,reactdom;react
ReactDOMServer,https://reactjs.org/docs/react-dom-server.html,reactdomserver;react
DOM Elements,https://reactjs.org/docs/dom-elements.html,dom;elements;react
SyntheticEvent,https://reactjs.org/docs/events.html,syntheticevent;react
Test Utilities,https://reactjs.org/docs/test-utils.html,test;utilities;react
Test Renderer,https://reactjs.org/docs/test-renderer.html,test;renderer;react
JS Environment Requirements,https://reactjs.org/docs/javascript-environment-requirements.html,js;environment;requirements;react
Glossary,https://reactjs.org/docs/glossary.html,glossary;react
Introducing Hooks,https://reactjs.org/docs/hooks-intro.html,introducing;hooks;react
Hooks at a Glance,https://reactjs.org/docs/hooks-overview.html,hooks;glance;react
Using the State Hook,https://reactjs.org/docs/hooks-state.html,using;state;hook;react
Using the Effect Hook,https://reactjs.org/docs/hooks-effect.html,using;effect;hook;react
Rules of Hooks,https://reactjs.org/docs/hooks-rules.html,rules;hooks;react
Building Your Own Hooks,https://reactjs.org/docs/hooks-custom.html,building;your;own;hooks;react
Hooks API Reference,https://reactjs.org/docs/hooks-reference.html,hooks;api;reference;react
Hooks FAQ,https://reactjs.org/docs/hooks-faq.html,hooks;faq;react
Testing Overview,https://reactjs.org/docs/testing.html,testing;overview;react
Testing Recipes,https://reactjs.org/docs/testing-recipes.html,testing;recipes;react
Testing Environments,https://reactjs.org/docs/testing-environments.html,testing;environments;react
Introducing Concurrent Mode,https://reactjs.org/docs/concurrent-mode-intro.html,introducing;concurrent;mode;react
Suspense for Data Fetching,https://reactjs.org/docs/concurrent-mode-suspense.html,suspense;data;fetching;react
Concurrent UI Patterns,https://reactjs.org/docs/concurrent-mode-patterns.html,concurrent;ui;patterns;react
Adopting Concurrent Mode,https://reactjs.org/docs/concurrent-mode-adoption.html,adopting;concurrent;mode;react
Concurrent Mode API Reference,https://reactjs.org/docs/concurrent-mode-reference.html,concurrent;mode;api;reference;react
How to Contribute,https://reactjs.org/docs/how-to-contribute.html,how;contribute;react
Codebase Overview,https://reactjs.org/docs/codebase-overview.html,codebase;overview;react
Implementation Notes,https://reactjs.org/docs/implementation-notes.html,implementation;notes;react
Design Principles,https://reactjs.org/docs/design-principles.html,design;principles;react
AJAX and APIs,https://reactjs.org/docs/faq-ajax.html,ajax;apis;react
Babel JSX and Build Steps,https://reactjs.org/docs/faq-build.html,babel;jsx;build;steps;react
Passing Functions to Components,https://reactjs.org/docs/faq-functions.html,passing;functions;components;react
Component State,https://reactjs.org/docs/faq-state.html,component;state;react
Styling and CSS,https://reactjs.org/docs/faq-styling.html,styling;css;react
File Structure,https://reactjs.org/docs/faq-structure.html,file;structure;react
Versioning Policy,https://reactjs.org/docs/faq-versioning.html,versioning;policy;react
Virtual DOM and Internals,https://reactjs.org/docs/faq-internals.html,virtual;dom;internals;react
Introducing Spring Boot,https://docs.spring.io/spring-boot/docs/current/reference/html/getting-started.html#getting-started-introducing-spring-boot,introducing;spring;boot;spring-boot;spring
System Requirements,https://docs.spring.io/spring-boot/docs/current/reference/html/getting-started.html#getting-started-system-requirements,system;requirements;spring-boot;spring
Servlet Containers,https://docs.spring.io/spring-boot/docs/current/reference/html/getting-started.html#getting-started-system-requirements-servlet-containers,servlet;containers;spring-boot;spring
Installing Spring Boot,https://docs.spring.io/spring-boot/docs/current/reference/html/getting-started.html#getting-started-installing-spring-boot,installing;spring;boot;spring-boot;spring
Installation Instructions for the Java Developer,https://docs.spring.io/spring-boot/docs/current/reference/html/getting-started.html#getting-started-installation-instructions-for-java,installation;instructions;java;developer;spring-boot;spring
Maven Installation,https://docs.spring.io/spring-boot/docs/current/reference/html/getting-started.html#getting-started-maven-installation,maven;installation;spring-boot;spring
Gradle Installation,https://docs.spring.io/spring-boot/docs/current/reference/html/getting-started.html#getting-started-gradle-installation,gradle;installation;spring-boot;spring
Installing the Spring Boot CLI,https://docs.spring.io/spring-boot/docs/current/reference/html/getting-started.html#getting-started-installing-the-cli,installing;spring;boot;cli;spring-boot;spring
Manual Installation,https://docs.spring.io/spring-boot/docs/current/reference/html/getting-started.html#getting-started-manual-cli-installation,manual;installation;spring-boot;spring
Installation with SDKMAN!,https://docs.spring.io/spring-boot/docs/current/reference/html/getting-started.html#getting-started-sdkman-cli-installation,installation;spring-boot;spring
OSX Homebrew Installation,https://docs.spring.io/spring-boot/docs/current/reference/html/getting-started.html#getting-started-homebrew-cli-installation,osx;homebrew;installation;spring-boot;spring
MacPorts Installation,https://docs.spring.io/spring-boot/docs/current/reference/html/getting-started.html#getting-started-macports-cli-installation,macports;installation;spring-boot;spring
Command-line Completion,https://docs.spring.io/spring-boot/docs/current/reference/html/getting-started.html#getting-started-cli-command-line-completion,command-line;completion;spring-boot;spring
Windows Scoop Installation,https://docs.spring.io/spring-boot/docs/current/reference/html/getting-started.html#getting-started-scoop-cli-installation,windows;scoop;installation;spring-boot;spring
Quick-start Spring CLI Example,https://docs.spring.io/spring-boot/docs/current/reference/html/getting-started.html#getting-started-cli-example,quick-start;spring;cli;example;spring-boot;spring
Upgrading from an Earlier Version of Spring Boot,https://docs.spring.io/spring-boot/docs/current/reference/html/getting-started.html#getting-started-upgrading-from-an-earlier-version,upgrading;earlier;version;spring;boot;spring-boot;spring
Developing Your First Spring Boot Application,https://docs.spring.io/spring-boot/docs/current/reference/html/getting-started.html#getting-started-first-application,developing;your;first;spring;boot;application;spring-boot;spring
Creating the POM,https://docs.spring.io/spring-boot/docs/current/reference/html/getting-started.html#getting-started-first-application-pom,creating;pom;spring-boot;spring
Adding Classpath Dependencies,https://docs.spring.io/spring-boot/docs/current/reference/html/getting-started.html#getting-started-first-application-dependencies,adding;classpath;dependencies;spring-boot;spring
Writing the Code,https://docs.spring.io/spring-boot/docs/current/reference/html/getting-started.html#getting-started-first-application-code,writing;code;spring-boot;spring
The @RestController and @RequestMapping Annotations,https://docs.spring.io/spring-boot/docs/current/reference/html/getting-started.html#getting-started-first-application-annotations,the;annotations;spring-boot;spring
The @EnableAutoConfiguration Annotation,https://docs.spring.io/spring-boot/docs/current/reference/html/getting-started.html#getting-started-first-application-auto-configuration,the;annotation;spring-boot;spring
The “main” Method,https://docs.spring.io/spring-boot/docs/current/reference/html/getting-started.html#getting-started-first-application-main-method,the;“main”;method;spring-boot;spring
Running the Example,https://docs.spring.io/spring-boot/docs/current/reference/html/getting-started.html#getting-started-first-application-run,running;example;spring-boot;spring
Creating an Executable Jar,https://docs.spring.io/spring-boot/docs/current/reference/html/getting-started.html#getting-started-first-application-executable-jar,creating;executable;jar;spring-boot;spring
What to Read Next,https://docs.spring.io/spring-boot/docs/current/reference/html/getting-started.html#getting-started-whats-next,what;read;next;spring-boot;spring
